HONG-KONG,369.00,378.00,390.00,401.00,412.00,433.00,453.00,473.00,494.00,513.00
HUNGARY,2889.00,2954.00,3012.00,3055.43,3013.72,2984.06,2967.81,2986.03,3040.73,3107.70
ICELAND,187.00,197.00,208.00,210.00,205.00,205.00,206.11,210.07,213.11,216.00
INDIA,7626.00,8572.00,9444.00,10606.00,11744.00,13268.00,15027.00,16896.00,19095.00,21971.86
INDONESIA,5076.23,6035.29,6877.23,7489.85,7910.41,8891.04,9459.60,10494.00,11301.00,12594.94
IRAN,6500.00,6800.00,7100.00,7500.00,8160.00,9000.00,9900.00,10720.00,11338.60,11980.00
IRAQ,775.00,857.00,864.00,872.00,878.00,990.00,1225.48,1340.56,1442.12,1550.00
IRELAND,1684.05,1802.15,1909.56,1953.33,1930.71,1899.40,1912.94,1883.00,1913.94,1930.00
ISRAEL,1652.00,1677.00,1779.00,1876.00,1912.00,2003.00,2164.00,2265.00,2358.51,2470.00
ITALY,34667.00,35297.00,35680.00,36105.00,36372.00,36751.00,37113.00,37078.00,36962.93,37080.75
IVORY COAST,270.00,275.00,298.00,311.99,325.98,339.88,350.00,370.00,390.00,410.00
JAMAICA,122.00,127.00,128.00,133.00,133.00,135.00,139.05,141.40,144.00,146.20
JAPAN,57091.00,57521.00,57624.00,57865.00,58020.00,58347.00,58670.00,59421.00,60035.85,60668.07
JORDAN,428.00,482.00,538.00,596.00,668.00,690.56,820.00,854.00,896.10,940.00
KAZAKHSTAN,1409.00,1745.00,2183.00,2571.00,2688.00,3088.00,3365.40,3642.80,3900.00,4180.00
KENYA,328.00,346.00,450.00,475.00,500.00,548.03,596.06,644.09,709.81,760.00
KUWAIT,780.00,830.00,890.00,950.00,1030.00,1130.00,1240.00,1342.00,1426.63,1510.00
KYRGYZSTAN,201.00,219.00,230.00,314.95,399.90,506.09,569.80,641.53,720.00,810.00
LATVIA,742.45,822.01,904.87,932.83,904.31,636.66,612.32,618.27,634.60,657.80
LEBANON,430.00,423.00,426.00,440.00,445.00,450.00,455.09,477.50,510.00,540.00
LIBERIA,12.00,19.00,16.00,13.00,13.00,13.00,14.00,15.00,20.00,20.00
LIBYA,1100.00,1357.00,1400.00,1420.00,1436.28,1655.00,1740.17,1841.76,1949.59,2060.00
LITHUANIA,1455.28,1592.24,1587.90,1671.07,1695.29,1691.86,1713.28,1753.41,1808.98,1870.00
LUXEMBOURG,307.00,315.00,322.00,329.00,332.00,337.00,346.00,355.85,363.25,372.83
MACEDONIA,253.00,242.00,249.00,263.00,282.00,310.00,313.00,301.76,346.80,371.45
MADAGASCAR,75.00,77.00,110.00,146.00,141.00,150.00,160.00,170.00,180.00,190.00
MALAWI,35.00,36.00,44.00,55.00,55.00,60.00,60.00,60.00,60.00,60.00
MALAYSIA,6552.00,7024.00,7504.00,8057.00,8602.00,9218.00,9831.00,10467.00,10634.00,11027.00
MALI,75.30,85.90,98.00,116.00,119.00,124.07,130.00,140.00,150.00,160.00
MALTA,206.00,212.00,218.00,222.00,227.00,234.00,240.00,249.61,256.10,265.95
MAURITANIA,12.00,13.00,13.00,13.00,13.00,14.00,14.10,16.00,20.00,20.00
MAURITIUS,85.00,92.00,100.00,110.00,118.00,127.00,136.00,148.00,160.00,170.00
MEXICO,14300.00,16412.00,17697.00,19421.00,20519.00,21153.00,22374.00,23570.00,24820.00,25543.13
MOLDAVIA,293.00,319.00,339.00,365.81,386.00,426.00,448.00,456.00,479.18,512.56
MOROCCO,1450.00,1551.53,1642.35,1741.22,1864.81,1976.17,2083.71,2202.74,2314.83,2423.61
MOZAMBIQUE,126.00,141.00,156.00,156.00,204.00,233.00,240.00,250.00,270.00,280.00
NETHERLANDS,7092.00,7230.00,7392.00,7542.00,7622.00,7736.00,7859.00,7915.61,8154.00,8193.00
NEW CALEDONIA,59.00,59.00,64.00,65.00,67.00,68.00,69.00,70.00,70.00,70.00
NEW ZEALAND,2182.00,2241.00,2282.00,2299.00,2329.00,2327.00,2362.00,2425.00,2895.00,2981.00
NICARAGUA,100.00,106.00,115.00,118.50,122.00,117.19,112.37,114.88,116.11,118.98
NIGERIA,1103.00,2176.00,2200.00,2250.00,2288.00,2400.00,2500.00,2600.00,2700.00,2830.00
NORWAY,2029.00,2085.00,2155.00,2198.00,2243.00,2305.00,2370.00,2433.00,2487.35,2539.55
OMAN,285.00,390.00,400.00,467.00,474.00,520.00,570.00,620.00,660.00,710.00
PAKISTAN,1410.38,1477.56,1544.20,1654.29,1764.32,1849.23,1950.00,2105.82,2271.40,2440.00
PALESTINE,104.00,89.00,61.00,75.00,98.00,101.31,134.22,167.12,200.03,240.00
PANAMA,273.00,295.00,318.00,339.00,355.00,384.00,389.00,437.58,469.14,500.00
PARAGUAY,256.00,267.00,288.00,332.00,349.50,363.00,379.00,350.00,374.44,370.00
PERU,748.00,767.00,795.00,846.00,890.00,947.00,1112.00,1220.54,1267.66,1398.08
PHILIPPINES,2580.20,2583.27,2546.70,2555.58,2646.11,2770.59,2861.09,2934.00,3009.00,3098.60
POLAND,12339.00,13384.00,14589.00,16080.00,16495.00,17240.00,17872.00,18744.00,19342.12,19980.74
PORTUGAL,4200.00,4290.00,4379.00,4408.00,4457.00,4480.00,4522.00,4497.00,4480.00,4459.15
PUERTO RICO,2208.00,2342.00,2421.00,2413.00,2309.93,2229.12,2439.14,2649.17,2940.00,2980.00
QATAR,246.00,251.00,300.00,416.00,450.00,490.00,540.00,580.00,607.02,650.00
ROMANIA,3364.00,3221.00,3554.00,4027.00,4245.00,4320.00,4335.00,4487.00,4693.65,4905.63
